§ø¨½,¯Çµ|³æ¦ì,ºî¦X©Ò±oÁ`ÃB,¥­§¡¼Æ,¤¤¦ì¼Æ,²Ä¤@¤À¦ì¼Æ,²Ä¤T¤À¦ì¼Æ,¼Ð·Ç®t,ÅÜ²§«Y¼Æ
«nªÚ¨½,1302,1130770,868,597,336,1071,992.63,114.29
«nªù¨½,950,1509582,1589,872,430,1748,3179.81,200.11
«n´ä¨½,1967,2033448,1034,646,372,1165,4404.54,426.06
«n´ò¨½,1753,2941549,1678,1083,539,2187,2015.19,120.09
«nºÖ¨½,3432,5155294,1502,982,471,1933,1999.89,133.14
«Ø¥\¨½,1480,1405811,950,633,347,1129,1479.46,155.75
«Ø¥Á¨½,1366,1549323,1134,683,384,1323,1630.51,143.76
«Ø¦w¨½,2001,3214070,1606,811,389,1682,3677.67,228.96
«Ø©ú¨½,1234,1560224,1264,601,346,1189,4101.73,324.41
«Ø­Û¨½,2365,5414841,2290,878,407,1989,12494.5,545.71
«Ø®õ¨½,1327,1398636,1054,673,370,1235,1424.27,135.13
«Ø°ê¨½,521,782181,1501,892,419,1754,2122.87,141.4
«á´ä¨½,2719,2647504,974,657,364,1201,1135.98,116.67
«í¦w¨½,1575,1869692,1187,663,367,1226,3810.26,320.97
«ü«n¨½,1110,1262529,1137,750,392,1422,1270.5,111.7
¬F¤j¨½,2284,4002529,1752,1215,552,2206,2194.61,125.23
¬P©ú¨½,1960,2144102,1094,675,361,1274,2136.68,195.32
¬h¶m¨½,1431,1035417,724,528,308,918,902.81,124.77
¬u·½¨½,663,669069,1009,563,353,1038,3077.55,304.96
¬w¬ü¨½,604,454037,752,541,327,936,718.68,95.61
¬ü¤¯¨½,1229,1811041,1474,853,420,1726,2099.79,142.5
­«¶§¨½,1607,2746691,1709,1107,550,2082,2164.18,126.62
­«¼y¨½,2293,2387796,1041,675,383,1271,1465.51,140.73
­â¾]¨½,1027,775160,755,567,342,951,668.91,88.62
®¶µØ¨½,2713,2964259,1093,697,372,1365,1482.21,135.66
®ç·½¨½,1967,1768862,899,604,367,1133,1036.08,115.21
®õ©M¨½,2583,2380456,922,633,365,1123,1015.75,110.22
°ê¶¶¨½,787,537182,683,520,305,898,583.9,85.54
°ê·~¨½,2546,3096759,1216,772,414,1511,1651.41,135.77
°ê¼y¨½,1498,1558027,1040,671,373,1288,1363.09,131.06
°ñÀY¨½,1281,1233403,963,656,363,1158,1054.77,109.55
±d¹ç¨½,2836,3398376,1198,829,431,1552,1502.55,125.39
±d¼Ö¨½,941,1032793,1098,630,332,1256,2902.56,264.46
±öªá¨½,1291,1831833,1419,813,396,1559,2658.42,187.35
²M¥Õ¨½,3086,4834308,1567,907,457,1819,3185.46,203.35
²M¦¿¨½,2572,2260814,879,593,344,1053,1352.35,153.85
²ø·q¨½,1764,1610106,913,682,376,1208,819.58,89.79
³q¤Æ¨½,2108,2377210,1128,646,359,1260,2487.54,220.58
³q¦w¨½,1965,2298640,1170,683,384,1353,1970.57,168.45
³»ªF¨½,2261,2620031,1159,762,393,1469,1407.28,121.44
³»ºÓ¨½,2271,1948508,858,585,350,1037,1187.54,138.41
³Õ¹Å¨½,1830,2321383,1269,749,423,1398,4293,338.43
´I¤ô¨½,847,983929,1162,784,419,1415,1311.38,112.89
´I¥Á¨½,1479,1166184,788,577,325,1001,782.99,99.3
´I¥ú¨½,1659,1230946,742,567,346,919,673.47,90.77
´I¬w¨½,1459,1037423,711,539,330,886,633.06,89.03
´I®õ¨½,1683,2175717,1293,798,401,1534,2698.43,208.73
´IºÖ¨½,1463,1432199,979,605,333,1073,1760.14,179.8
´I»O¨½,1533,1782718,1163,754,395,1404,1529.81,131.55
´IÀA¨½,1862,2518436,1353,719,372,1431,5325.04,393.71
´L½å¨½,1536,1419224,924,652,374,1175,975.73,105.6
´_«Ø¨½,1578,1999807,1267,837,427,1643,1440.58,113.67
´_²±¨½,2295,2504432,1091,702,378,1313,2144.51,196.52
´_µØ¨½,1803,2667584,1480,770,381,1605,2737.41,185.02
´_¶Õ¨½,2299,2835023,1233,772,400,1502,1668.36,135.29
´_·½¨½,1135,1528461,1347,742,405,1450,4896.57,363.61
´f¦w¨½,2208,2134035,967,685,382,1210,1050.17,108.66
´­¶®¨½,1134,1094525,965,586,352,1044,1702.11,176.35
´°¤Æ¨½,2558,3693973,1444,816,424,1599,3694.88,255.86
´°¦w¨½,2370,4659733,1966,935,434,1913,5181.98,263.56
´°«p¨½,1993,2187307,1097,735,387,1409,1292.23,117.74
´°·×¨½,2301,3751304,1630,894,403,1824,3203.16,196.48
´µ¤å¨½,1655,1565658,946,568,325,1036,2638.17,278.87
´º¤¯¨½,1602,1804183,1126,768,396,1447,1335.11,118.55
´º¦æ¨½,2106,2247053,1067,729,400,1339,1190.7,111.6
´ºªF¨½,2310,2511376,1087,791,417,1441,1124.56,103.44
´º¬P¨½,764,571322,748,542,337,931,690.73,92.37
´º¬ü¨½,1757,2065024,1175,759,410,1443,1428.77,121.57
´ºµØ¨½,1913,2150022,1124,729,399,1376,1605.2,142.82
´º¶Ô¨½,1336,1276269,955,672,375,1211,1000.8,104.76
´º·s¨½,1834,4948080,2698,808,414,1711,14104.93,522.8
´º¼y¨½,2111,2049331,971,674,371,1273,968.12,99.73
´ºÁp¨½,1680,1795070,1068,716,369,1333,1180.29,110.46
´¸¥ú¨½,1908,2490679,1305,668,366,1258,5952.92,456.03
´¼¤¯¨½,1882,1621472,862,646,381,1097,751.19,87.19
´Â¶§¨½,1443,1625148,1126,636,327,1160,2455.04,217.99
´ä³£¨½,1922,2346935,1221,719,396,1404,2542.2,208.19
´ä´I¨½,3131,3512557,1122,703,380,1353,1857.67,165.59
´äµØ¨½,3094,3654946,1181,699,394,1342,2487.07,210.54
´äáY¨½,2116,2371049,1121,750,417,1386,1263,112.71
´ò¤s¨½,509,649695,1276,625,344,1123,5965,467.32
´ò¤¸¨½,2081,2390224,1149,718,401,1327,1967.76,171.32
´ò¥Ð¨½,254,281815,1110,567,320,1152,3084.22,277.98
´ò¿³¨½,2721,2949382,1084,709,399,1287,1573.12,145.13
´òÀØ¨½,2906,4244645,1461,808,418,1627,2851.16,195.2
µµ¬P¨½,2754,2841665,1032,682,375,1291,1215.71,117.82
µµ¶§¨½,2896,3545178,1224,750,404,1469,2555.38,208.74
µµ¶³¨½,1805,1806191,1001,695,362,1294,1156.68,115.59
µ×¤s¨½,425,1072174,2523,629,395,1031,27455.45,1088.31
µæ¶é¨½,1812,1634391,902,609,342,1063,1315.52,145.85
µØ¤¤¨½,1785,1460083,818,588,356,1037,909.45,111.18
µØ¦¿¨½,2451,1866593,762,554,320,928,778.5,102.22
